sample,beta,theta,date,new_infections,S,I,R,V
440,4.003513079112161,0.15410375333879664,2020-04-01,2184.6246842996534,11411264.876071416,2588.526808359627,50418512.06681144,22167634.530308783
440,4.003513079112161,0.15410375333879664,2020-05-01,1407.7373372249488,9780135.44485606,1711.4211437943127,50420796.90981323,23797356.224186912
440,4.003513079112161,0.15410375333879664,2020-06-01,797.7117994690153,8382568.91937573,998.4943008950327,50422307.5484556,25194125.037867773
440,4.003513079112161,0.15410375333879664,2020-07-01,398.909477795416,7184997.3417757675,516.0519965262831,50423188.90023777,26391297.705989942
440,4.003513079112161,0.15410375333879664,2020-08-01,176.7163363142242,6158681.440562347,237.25912620796095,50423644.4094444,27417436.890867047
440,4.003513079112161,0.15410375333879664,2020-09-01,69.64183043317242,5279047.889001294,97.47687326814096,50423853.83352777,28297000.800597668
440,4.003513079112161,0.15410375333879664,2020-10-01,24.525515723404506,4525086.007621751,35.96142120869777,50423939.87449556,29050938.15646149
440,4.003513079112161,0.15410375333879664,2020-11-01,7.755776375684052,3878819.4090811866,11.974740323452576,50423971.61695282,29697196.999225676
440,4.003513079112161,0.15410375333879664,2020-12-01,2.2137445554551904,3324856.1571636703,3.6186111043978446,50423982.186826594,30251158.037398636
441,4.003513079112161,0.15410375333879664,2019-10-01,1756.8517567715141,28798654.21869088,1885.5665245323864,50400968.41856557,4798491.796219005
441,4.003513079112161,0.15410375333879664,2019-11-01,2587.95370944142,24683131.192103393,2809.166801714794,50402632.77199783,8911426.86909705
441,4.003513079112161,0.15410375333879664,2019-12-01,3304.5374002638537,21154657.901415914,3634.1065068606867,50405112.36969295,12436595.622384265
441,4.003513079112161,0.15410375333879664,2020-01-01,3663.768404681088,18129751.064611167,4090.1187495636746,50408320.12585493,15457838.690784333
441,4.003513079112161,0.15410375333879664,2020-02-01,3533.844164031983,15536982.027373692,4013.6934849572526,50411930.39528357,18047073.883857775
441,4.003513079112161,0.15410375333879664,2020-03-01,2971.880166971921,13315066.24025196,3442.7633395850326,50415473.20559592,20266017.790812537
441,4.003513079112161,0.15410375333879664,2020-04-01,2184.6246842996534,11411264.876071416,2588.526808359627,50418512.06681144,22167634.530308783
441,4.003513079112161,0.15410375333879664,2020-05-01,1407.7373372249488,9780135.44485606,1711.4211437943127,50420796.90981323,23797356.224186912
441,4.003513079112161,0.15410375333879664,2020-06-01,797.7117994690153,8382568.91937573,998.4943008950327,50422307.5484556,25194125.037867773
441,4.003513079112161,0.15410375333879664,2020-07-01,398.909477795416,7184997.3417757675,516.0519965262831,50423188.90023777,26391297.705989942
441,4.003513079112161,0.15410375333879664,2020-08-01,176.7163363142242,6158681.440562347,237.25912620796095,50423644.4094444,27417436.890867047
441,4.003513079112161,0.15410375333879664,2020-09-01,69.64183043317242,5279047.889001294,97.47687326814096,50423853.83352777,28297000.800597668
441,4.003513079112161,0.15410375333879664,2020-10-01,24.525515723404506,4525086.007621751,35.96142120869777,50423939.87449556,29050938.15646149
441,4.003513079112161,0.15410375333879664,2020-11-01,7.755776375684052,3878819.4090811866,11.974740323452576,50423971.61695282,29697196.999225676
441,4.003513079112161,0.15410375333879664,2020-12-01,2.2137445554551904,3324856.1571636703,3.6186111043978446,50423982.186826594,30251158.037398636
442,3.9937601784859718,0.15410375333879664,2019-10-01,1752.5720270996085,28798658.49842055,1881.286794860481,50400968.41856557,4798491.796219005
442,3.9937601784859718,0.15410375333879664,2019-11-01,2575.790508927438,24683147.023815773,2796.501506884595,50402628.99436247,8911427.480314858
442,3.9937601784859718,0.15410375333879664,2019-12-01,3281.628484260471,21154694.38100791,3609.7117090294873,50405097.41264459,12436598.494638462
442,3.9937601784859718,0.15410375333879664,2020-01-01,3630.318285017357,18129815.78441988,4053.80665256135,50408283.635986075,15457846.772941472
442,3.9937601784859718,0.15410375333879664,2020-02-01,3493.9546757222756,15537077.393587023,3969.543891708099,50411861.85342265,18047091.209098607
442,3.9937601784859718,0.15410375333879664,2020-03-01,2932.0518896712283,13315187.814833809,3397.7554688209493,50415365.693735205,20266048.735962152
442,3.9937601784859718,0.15410375333879664,2020-04-01,2150.8346999139803,11411402.877730418,2549.4565381082343,50418364.82736583,22167682.83836563
442,3.9937601784859718,0.15410375333879664,2020-05-01,1383.1300803584622,9780278.344800144,1682.2301954028558,50420615.183788896,23797424.241215546
442,3.9937601784859718,0.15410375333879664,2020-06-01,782.2074855315333,8382706.91510398,979.5653292347647,50422100.056140594,25194213.463426176
442,3.9937601784859718,0.15410375333879664,2020-07-01,390.40041489925125,7185124.138442142,505.322202459914,50422964.699682266,26391405.839673117
442,3.9937601784859718,0.15410375333879664,2020-08-01,172.62358651885216,6158794.22126926,231.9075659203594,50423410.73790532,27417563.13325948
442,3.9937601784859718,0.15410375333879664,2020-09-01,67.90643219660684,5279146.298113336,95.11363444133087,50423615.438269,28297143.149983205
442,3.9937601784859718,0.15410375333879664,2020-10-01,23.873065461891716,4525171.01469785,35.03171773874206,50423699.39325116,29051094.56033323
442,3.9937601784859718,0.15410375333879664,2020-11-01,7.537004320207411,3878892.4944806215,11.646896232165798,50423730.315076984,29697365.543546136
442,3.9937601784859718,0.15410375333879664,2020-12-01,2.1479319854803873,3324918.870544089,3.5143361390243495,50423740.59556907,30251337.019550685
443,3.9937601784859718,0.15410375333879664,2019-10-01,1752.5720270996085,28798658.49842055,1881.286794860481,50400968.41856557,4798491.796219005
443,3.9937601784859718,0.15410375333879664,2019-11-01,2575.790508927438,24683147.023815773,2796.501506884595,50402628.99436247,8911427.480314858
443,3.9937601784859718,0.15410375333879664,2019-12-01,3281.628484260471,21154694.38100791,3609.7117090294873,50405097.41264459,12436598.494638462
443,3.9937601784859718,0.15410375333879664,2020-01-01,3630.318285017357,18129815.78441988,4053.80665256135,50408283.635986075,15457846.772941472
443,3.9937601784859718,0.15410375333879664,2020-02-01,3493.9546757222756,15537077.393587023,3969.543891708099,50411861.85342265,18047091.209098607
443,3.9937601784859718,0.15410375333879664,2020-03-01,2932.0518896712283,13315187.814833809,3397.7554688209493,50415365.693735205,20266048.735962152
443,3.9937601784859718,0.15410375333879664,2020-04-01,2150.8346999139803,11411402.877730418,2549.4565381082343,50418364.82736583,22167682.83836563
443,3.9937601784859718,0.15410375333879664,2020-05-01,1383.1300803584622,9780278.344800144,1682.2301954028558,50420615.183788896,23797424.241215546
443,3.9937601784859718,0.15410375333879664,2020-06-01,782.2074855315333,8382706.91510398,979.5653292347647,50422100.056140594,25194213.463426176
443,3.9937601784859718,0.15410375333879664,2020-07-01,390.40041489925125,7185124.138442142,505.322202459914,50422964.699682266,26391405.839673117
443,3.9937601784859718,0.15410375333879664,2020-08-01,172.62358651885216,6158794.22126926,231.9075659203594,50423410.73790532,27417563.13325948
443,3.9937601784859718,0.15410375333879664,2020-09-01,67.90643219660684,5279146.298113336,95.11363444133087,50423615.438269,28297143.149983205
443,3.9937601784859718,0.15410375333879664,2020-10-01,23.873065461891716,4525171.01469785,35.03171773874206,50423699.39325116,29051094.56033323
443,3.9937601784859718,0.15410375333879664,2020-11-01,7.537004320207411,3878892.4944806215,11.646896232165798,50423730.315076984,29697365.543546136
443,3.9937601784859718,0.15410375333879664,2020-12-01,2.1479319854803873,3324918.870544089,3.5143361390243495,50423740.59556907,30251337.019550685
444,3.9937601784859718,0.15410375333879664,2019-10-01,1752.5720270996085,28798658.49842055,1881.286794860481,50400968.41856557,4798491.796219005
444,3.9937601784859718,0.15410375333879664,2019-11-01,2575.790508927438,24683147.023815773,2796.501506884595,50402628.99436247,8911427.480314858
444,3.9937601784859718,0.15410375333879664,2019-12-01,3281.628484260471,21154694.38100791,3609.7117090294873,50405097.41264459,12436598.494638462
444,3.9937601784859718,0.15410375333879664,2020-01-01,3630.318285017357,18129815.78441988,4053.80665256135,50408283.635986075,15457846.772941472
444,3.9937601784859718,0.15410375333879664,2020-02-01,3493.9546757222756,15537077.393587023,3969.543891708099,50411861.85342265,18047091.209098607
444,3.9937601784859718,0.15410375333879664,2020-03-01,2932.0518896712283,13315187.814833809,3397.7554688209493,50415365.693735205,20266048.735962152
444,3.9937601784859718,0.15410375333879664,2020-04-01,2150.8346999139803,11411402.877730418,2549.4565381082343,50418364.82736583,22167682.83836563
444,3.9937601784859718,0.15410375333879664,2020-05-01,1383.1300803584622,9780278.344800144,1682.2301954028558,50420615.183788896,23797424.241215546
444,3.9937601784859718,0.15410375333879664,2020-06-01,782.2074855315333,8382706.91510398,979.5653292347647,50422100.056140594,25194213.463426176
444,3.9937601784859718,0.15410375333879664,2020-07-01,390.40041489925125,7185124.138442142,505.322202459914,50422964.699682266,26391405.839673117
444,3.9937601784859718,0.15410375333879664,2020-08-01,172.62358651885216,6158794.22126926,231.9075659203594,50423410.73790532,27417563.13325948
444,3.9937601784859718,0.15410375333879664,2020-09-01,67.90643219660684,5279146.298113336,95.11363444133087,50423615.438269,28297143.149983205
444,3.9937601784859718,0.15410375333879664,2020-10-01,23.873065461891716,4525171.01469785,35.03171773874206,50423699.39325116,29051094.56033323
444,3.9937601784859718,0.15410375333879664,2020-11-01,7.537004320207411,3878892.4944806215,11.646896232165798,50423730.315076984,29697365.543546136
444,3.9937601784859718,0.15410375333879664,2020-12-01,2.1479319854803873,3324918.870544089,3.5143361390243495,50423740.59556907,30251337.019550685
445,3.9937601784859718,0.15410375333879664,2019-10-01,1752.5720270996085,28798658.49842055,1881.286794860481,50400968.41856557,4798491.796219005
445,3.9937601784859718,0.15410375333879664,2019-11-01,2575.790508927438,24683147.023815773,2796.501506884595,50402628.99436247,8911427.480314858
445,3.9937601784859718,0.15410375333879664,2019-12-01,3281.628484260471,21154694.38100791,3609.7117090294873,50405097.41264459,12436598.494638462
445,3.9937601784859718,0.15410375333879664,2020-01-01,3630.318285017357,18129815.78441988,4053.80665256135,50408283.635986075,15457846.772941472
445,3.9937601784859718,0.15410375333879664,2020-02-01,3493.9546757222756,15537077.393587023,3969.543891708099,50411861.85342265,18047091.209098607
445,3.9937601784859718,0.15410375333879664,2020-03-01,2932.0518896712283,13315187.814833809,3397.7554688209493,50415365.693735205,20266048.735962152
445,3.9937601784859718,0.15410375333879664,2020-04-01,2150.8346999139803,11411402.877730418,2549.4565381082343,50418364.82736583,22167682.83836563
445,3.9937601784859718,0.15410375333879664,2020-05-01,1383.1300803584622,9780278.344800144,1682.2301954028558,50420615.183788896,23797424.241215546
445,3.9937601784859718,0.15410375333879664,2020-06-01,782.2074855315333,8382706.91510398,979.5653292347647,50422100.056140594,25194213.463426176
445,3.9937601784859718,0.15410375333879664,2020-07-01,390.40041489925125,7185124.138442142,505.322202459914,50422964.699682266,26391405.839673117
445,3.9937601784859718,0.15410375333879664,2020-08-01,172.62358651885216,6158794.22126926,231.9075659203594,50423410.73790532,27417563.13325948
445,3.9937601784859718,0.15410375333879664,2020-09-01,67.90643219660684,5279146.298113336,95.11363444133087,50423615.438269,28297143.149983205
445,3.9937601784859718,0.15410375333879664,2020-10-01,23.873065461891716,4525171.01469785,35.03171773874206,50423699.39325116,29051094.56033323
445,3.9937601784859718,0.15410375333879664,2020-11-01,7.537004320207411,3878892.4944806215,11.646896232165798,50423730.315076984,29697365.543546136
445,3.9937601784859718,0.15410375333879664,2020-12-01,2.1479319854803873,3324918.870544089,3.5143361390243495,50423740.59556907,30251337.019550685
446,3.9937601784859718,0.15410375333879664,2019-10-01,1752.5720270996085,28798658.49842055,1881.286794860481,50400968.41856557,4798491.796219005
446,3.9937601784859718,0.15410375333879664,2019-11-01,2575.790508927438,24683147.023815773,2796.501506884595,50402628.99436247,8911427.480314858
446,3.9937601784859718,0.15410375333879664,2019-12-01,3281.628484260471,21154694.38100791,3609.7117090294873,50405097.41264459,12436598.494638462
446,3.9937601784859718,0.15410375333879664,2020-01-01,3630.318285017357,18129815.78441988,4053.80665256135,50408283.635986075,15457846.772941472
446,3.9937601784859718,0.15410375333879664,2020-02-01,3493.9546757222756,15537077.393587023,3969.543891708099,50411861.85342265,18047091.209098607
446,3.9937601784859718,0.15410375333879664,2020-03-01,2932.0518896712283,13315187.814833809,3397.7554688209493,50415365.693735205,20266048.735962152
446,3.9937601784859718,0.15410375333879664,2020-04-01,2150.8346999139803,11411402.877730418,2549.4565381082343,50418364.82736583,22167682.83836563
446,3.9937601784859718,0.15410375333879664,2020-05-01,1383.1300803584622,9780278.344800144,1682.2301954028558,50420615.183788896,23797424.241215546
446,3.9937601784859718,0.15410375333879664,2020-06-01,782.2074855315333,8382706.91510398,979.5653292347647,50422100.056140594,25194213.463426176
446,3.9937601784859718,0.15410375333879664,2020-07-01,390.40041489925125,7185124.138442142,505.322202459914,50422964.699682266,26391405.839673117
